id,display_name,works_api_url,works_count,country_code,h_index
https://openalex.org/A5062677313,David M. Rothschild,https://api.openalex.org/works?filter=author.id:A5062677313,2,,0
https://openalex.org/A5027462528,Kate Niederhoffer,https://api.openalex.org/works?filter=author.id:A5027462528,14,US,8
https://openalex.org/A5056169471,Yuanmo He,https://api.openalex.org/works?filter=author.id:A5056169471,2,GB,1
https://openalex.org/A5017332030,Alina Herderich,https://api.openalex.org/works?filter=author.id:A5017332030,2,,0
https://openalex.org/A5035102250,Ahmad Hesam,https://api.openalex.org/works?filter=author.id:A5035102250,27,NL,10
https://openalex.org/A5033304799,Cho Sho,https://api.openalex.org/works?filter=author.id:A5033304799,10,JP,3
https://openalex.org/A5027112362,T. M. Spieker,https://api.openalex.org/works?filter=author.id:A5027112362,365,DE,51
https://openalex.org/A5082556407,Taizo Horikomi,https://api.openalex.org/works?filter=author.id:A5082556407,2,,1
https://openalex.org/A5017949447,Tornike Tsereteli,https://api.openalex.org/works?filter=author.id:A5017949447,1,DE,1
https://openalex.org/A5031207136,Ryota Kobayashi,https://api.openalex.org/works?filter=author.id:A5031207136,366,JP,23
https://openalex.org/A5055881236,Cheick Tidiane Ba,https://api.openalex.org/works?filter=author.id:A5055881236,19,GB,5
https://openalex.org/A5029294803,Ashley Muddiman,https://api.openalex.org/works?filter=author.id:A5029294803,47,US,15
https://openalex.org/A5020948422,Gabriela Salazar Lopez,https://api.openalex.org/works?filter=author.id:A5020948422,1,,1
https://openalex.org/A5035107313,Joshua Garland,https://api.openalex.org/works?filter=author.id:A5035107313,63,US,14
https://openalex.org/A5081236916,Marco De Nadai,https://api.openalex.org/works?filter=author.id:A5081236916,68,US,13
https://openalex.org/A5082041365,Ray Funahashi,https://api.openalex.org/works?filter=author.id:A5082041365,3,US,2
https://openalex.org/A5075756309,Takahiro Yabe,https://api.openalex.org/works?filter=author.id:A5075756309,87,US,19
https://openalex.org/A5031686630,Aguru ISHIBASHI,https://api.openalex.org/works?filter=author.id:A5031686630,1,JP,0
https://openalex.org/A5026245216,Jinseo Park,https://api.openalex.org/works?filter=author.id:A5026245216,52,KR,12
https://openalex.org/A5085624228,James Winters,https://api.openalex.org/works?filter=author.id:A5085624228,48,MA,11
https://openalex.org/A5043251311,James Evans,https://api.openalex.org/works?filter=author.id:A5043251311,126,GB,36
https://openalex.org/A5080916245,Ethan Porter,https://api.openalex.org/works?filter=author.id:A5080916245,72,US,15
https://openalex.org/A5052278645,Mikiko Shimaoka,https://api.openalex.org/works?filter=author.id:A5052278645,9,JP,1
https://openalex.org/A5072186861,Carolina Coimbra Vieira,https://api.openalex.org/works?filter=author.id:A5072186861,18,DE,2
https://openalex.org/A5017534262,David A. Lagnado,https://api.openalex.org/works?filter=author.id:A5017534262,234,GB,33
https://openalex.org/A5012700152,Franziska Keller,https://api.openalex.org/works?filter=author.id:A5012700152,26,CN,12
https://openalex.org/A5080732395,Hans Joachim Baumann,https://api.openalex.org/works?filter=author.id:A5080732395,5,DE,4
https://openalex.org/A5010386599,Sean Kelty Chilelli,https://api.openalex.org/works?filter=author.id:A5010386599,2,US,1
https://openalex.org/A5065436497,Djordje Grbic,https://api.openalex.org/works?filter=author.id:A5065436497,29,US,8
https://openalex.org/A5052030569,Facundo Carrillo,https://api.openalex.org/works?filter=author.id:A5052030569,31,AR,8
https://openalex.org/A5042644425,Piyush Ghasiya,https://api.openalex.org/works?filter=author.id:A5042644425,19,JP,3
https://openalex.org/A5044409132,Brian Keegan,https://api.openalex.org/works?filter=author.id:A5044409132,117,US,21
https://openalex.org/A5076431905,Jonathan Green,https://api.openalex.org/works?filter=author.id:A5076431905,901,US,80
https://openalex.org/A5080376515,Chris Baber,https://api.openalex.org/works?filter=author.id:A5080376515,376,GB,37
https://openalex.org/A5047385425,Nicholas R. Buttrick,https://api.openalex.org/works?filter=author.id:A5047385425,51,US,15
https://openalex.org/A5060277811,Maimuna S. Majumder,https://api.openalex.org/works?filter=author.id:A5060277811,94,US,23
https://openalex.org/A5055658937,Rebekah Getman,https://api.openalex.org/works?filter=author.id:A5055658937,9,US,3
https://openalex.org/A5047404909,Aaron J. Schwartz,https://api.openalex.org/works?filter=author.id:A5047404909,23,US,8
https://openalex.org/A5068009402,Federico Delussu,https://api.openalex.org/works?filter=author.id:A5068009402,5,IT,3
https://openalex.org/A5079221037,Stocking Galen,https://api.openalex.org/works?filter=author.id:A5079221037,13,US,3
https://openalex.org/A5051891666,Florian Keusch,https://api.openalex.org/works?filter=author.id:A5051891666,87,DE,18
https://openalex.org/A5027619722,Jorge Luiz Neves,https://api.openalex.org/works?filter=author.id:A5027619722,58,BR,15
https://openalex.org/A5057226228,Balázs Vedres,https://api.openalex.org/works?filter=author.id:A5057226228,78,AT,10
https://openalex.org/A5027163845,Cody Buntain,https://api.openalex.org/works?filter=author.id:A5027163845,57,US,13
https://openalex.org/A5010230468,Muhammad Ali Khan,https://api.openalex.org/works?filter=author.id:A5010230468,241,US,26
https://openalex.org/A5004105435,Marie Urban,https://api.openalex.org/works?filter=author.id:A5004105435,46,US,6
