id,display_name,works_api_url,works_count,h_index,country_code
https://openalex.org/A5039491690,Guiyao Tang,https://api.openalex.org/works?filter=author.id:A5039491690,70,17,CN
https://openalex.org/A5060223489,Kameron Decker Harris,https://api.openalex.org/works?filter=author.id:A5060223489,67,13,US
https://openalex.org/A5083180250,Mahshid Dehghan,https://api.openalex.org/works?filter=author.id:A5083180250,65,27,CA
https://openalex.org/A5029549179,Syon Bhanot,https://api.openalex.org/works?filter=author.id:A5029549179,44,9,US
https://openalex.org/A5047301239,Alessandro Galeazzi,https://api.openalex.org/works?filter=author.id:A5047301239,40,10,IT
https://openalex.org/A5041348628,Tiancheng Lou,https://api.openalex.org/works?filter=author.id:A5041348628,26,10,CN
https://openalex.org/A5056371320,Isis Hjorth,https://api.openalex.org/works?filter=author.id:A5056371320,26,6,GB
https://openalex.org/A5071796852,Sohan Dsouza,https://api.openalex.org/works?filter=author.id:A5071796852,25,11,IN
https://openalex.org/A5056408820,Melissa R. Sanders,https://api.openalex.org/works?filter=author.id:A5056408820,8,4,US
https://openalex.org/A5001791116,Elodie S. Fichet,https://api.openalex.org/works?filter=author.id:A5001791116,3,2,US
https://openalex.org/A5004726299,Inass Mabchour,https://api.openalex.org/works?filter=author.id:A5004726299,2,1,
https://openalex.org/A5024421649,Matthew Soukup,https://api.openalex.org/works?filter=author.id:A5024421649,1,1,US
https://openalex.org/A5007992168,Guo Zhang,https://api.openalex.org/works?filter=author.id:A5007992168,1877,67,CN
https://openalex.org/A5057089451,YangQuan Chen,https://api.openalex.org/works?filter=author.id:A5057089451,1703,81,CN
https://openalex.org/A5021273735,Richard G. Bower,https://api.openalex.org/works?filter=author.id:A5021273735,367,86,GB
https://openalex.org/A5078652354,Jianwei Ma,https://api.openalex.org/works?filter=author.id:A5078652354,263,37,CN
https://openalex.org/A5089550785,Sisi Zhang,https://api.openalex.org/works?filter=author.id:A5089550785,241,27,CN
https://openalex.org/A5018267985,Khan Muhammad,https://api.openalex.org/works?filter=author.id:A5018267985,204,49,KR
https://openalex.org/A5075267289,René Weber,https://api.openalex.org/works?filter=author.id:A5075267289,189,30,KR
https://openalex.org/A5026457242,Sai Jiang,https://api.openalex.org/works?filter=author.id:A5026457242,181,20,CN
https://openalex.org/A5078123101,Ben Carterette,https://api.openalex.org/works?filter=author.id:A5078123101,169,30,US
https://openalex.org/A5055347132,Cătălin Cîrstoiu,https://api.openalex.org/works?filter=author.id:A5055347132,156,10,RO
https://openalex.org/A5029425733,Duanbing Chen,https://api.openalex.org/works?filter=author.id:A5029425733,103,23,CN
https://openalex.org/A5011056969,Gianluca Manzo,https://api.openalex.org/works?filter=author.id:A5011056969,84,15,FR
https://openalex.org/A5025451778,Damien Muselet,https://api.openalex.org/works?filter=author.id:A5025451778,77,13,FR
https://openalex.org/A5039607149,Jan-Peter Calliess,https://api.openalex.org/works?filter=author.id:A5039607149,55,10,GB
https://openalex.org/A5028356812,Dominic DiFranzo,https://api.openalex.org/works?filter=author.id:A5028356812,48,12,US
https://openalex.org/A5039730614,Shelley J. Correll,https://api.openalex.org/works?filter=author.id:A5039730614,47,22,CZ
https://openalex.org/A5055248882,Lamjed Ben Jabeur,https://api.openalex.org/works?filter=author.id:A5055248882,41,6,FR
https://openalex.org/A5073802999,Lily Tran,https://api.openalex.org/works?filter=author.id:A5073802999,32,6,US
https://openalex.org/A5090935216,Joanne Durkin,https://api.openalex.org/works?filter=author.id:A5090935216,29,12,AU
https://openalex.org/A5026798942,Sven Van Segbroeck,https://api.openalex.org/works?filter=author.id:A5026798942,24,9,BE
https://openalex.org/A5037644583,Taku Miura,https://api.openalex.org/works?filter=author.id:A5037644583,24,9,JP
https://openalex.org/A5087905718,Gale Yan Huang,https://api.openalex.org/works?filter=author.id:A5087905718,19,8,CN
https://openalex.org/A5006140886,John Luna,https://api.openalex.org/works?filter=author.id:A5006140886,14,5,US
https://openalex.org/A5036868122,Chelsea Kim,https://api.openalex.org/works?filter=author.id:A5036868122,11,4,CN
https://openalex.org/A5059729254,Agrippa Kellum,https://api.openalex.org/works?filter=author.id:A5059729254,4,2,US
https://openalex.org/A5003799076,Wei Wei,https://api.openalex.org/works?filter=author.id:A5003799076,16438,170,CN
https://openalex.org/A5042580769,Simon Parsons,https://api.openalex.org/works?filter=author.id:A5042580769,467,38,GB
https://openalex.org/A5053224561,Mike Sharland,https://api.openalex.org/works?filter=author.id:A5053224561,365,33,GB
https://openalex.org/A5037101148,Alfredo J. Morales,https://api.openalex.org/works?filter=author.id:A5037101148,221,8,ES
https://openalex.org/A5006898755,Spomenka Kobe,https://api.openalex.org/works?filter=author.id:A5006898755,194,20,SI
https://openalex.org/A5022076851,David A. Snow,https://api.openalex.org/works?filter=author.id:A5022076851,169,43,US
https://openalex.org/A5031422180,Rongling Wu,https://api.openalex.org/works?filter=author.id:A5031422180,168,24,CN
https://openalex.org/A5036983906,Jie Wu,https://api.openalex.org/works?filter=author.id:A5036983906,167,17,CN
https://openalex.org/A5087254915,Enrico Capobianco,https://api.openalex.org/works?filter=author.id:A5087254915,166,16,US
https://openalex.org/A5067325797,Bo Yang,https://api.openalex.org/works?filter=author.id:A5067325797,111,14,CN
https://openalex.org/A5026062107,Nicholas Stevens,https://api.openalex.org/works?filter=author.id:A5026062107,97,13,AU
https://openalex.org/A5034335529,Jonathan M. Teich,https://api.openalex.org/works?filter=author.id:A5034335529,91,29,US
https://openalex.org/A5006547660,Orlando Fernandes,https://api.openalex.org/works?filter=author.id:A5006547660,71,14,BR
https://openalex.org/A5088202591,Sidney Strauss,https://api.openalex.org/works?filter=author.id:A5088202591,70,19,IN
https://openalex.org/A5016038237,Xian Gu,https://api.openalex.org/works?filter=author.id:A5016038237,65,15,GB
https://openalex.org/A5030990306,José A. Capitán,https://api.openalex.org/works?filter=author.id:A5030990306,60,14,ES
https://openalex.org/A5064396720,Kaya de Barbaro,https://api.openalex.org/works?filter=author.id:A5064396720,57,15,US
https://openalex.org/A5003025640,Nadine Kloth,https://api.openalex.org/works?filter=author.id:A5003025640,34,16,DE
https://openalex.org/A5042849000,Joanna Komoszyńska,https://api.openalex.org/works?filter=author.id:A5042849000,13,5,PL
https://openalex.org/A5046906377,Ramesh Vidyadharan,https://api.openalex.org/works?filter=author.id:A5046906377,13,5,GB
https://openalex.org/A5016169311,Sarah Moens,https://api.openalex.org/works?filter=author.id:A5016169311,9,5,NL
https://openalex.org/A5001653904,Greta Jasser,https://api.openalex.org/works?filter=author.id:A5001653904,6,2,DE
https://openalex.org/A5020261863,Dan Avrahami,https://api.openalex.org/works?filter=author.id:A5020261863,3,2,IL
https://openalex.org/A5053603535,María Teresa Valderas,https://api.openalex.org/works?filter=author.id:A5053603535,2,2,ES
https://openalex.org/A5041942769,Norman Patrick Harvey Arce,https://api.openalex.org/works?filter=author.id:A5041942769,1,1,
https://openalex.org/A5040899817,Pu Wang,https://api.openalex.org/works?filter=author.id:A5040899817,2112,80,CN
https://openalex.org/A5005426960,Song Wang,https://api.openalex.org/works?filter=author.id:A5005426960,1982,60,CN
https://openalex.org/A5049634383,Kristina Lerman,https://api.openalex.org/works?filter=author.id:A5049634383,489,46,US
https://openalex.org/A5033685419,Lars Penke,https://api.openalex.org/works?filter=author.id:A5033685419,220,43,DE
https://openalex.org/A5052876977,Mogens H. Jensen,https://api.openalex.org/works?filter=author.id:A5052876977,189,44,DK
https://openalex.org/A5006733423,Leaf Van Boven,https://api.openalex.org/works?filter=author.id:A5006733423,185,37,US
https://openalex.org/A5070815266,Paolo Pin,https://api.openalex.org/works?filter=author.id:A5070815266,132,17,IT
https://openalex.org/A5020256264,Jesús Lázaro,https://api.openalex.org/works?filter=author.id:A5020256264,116,19,ES
https://openalex.org/A5080732494,Markus Möbius,https://api.openalex.org/works?filter=author.id:A5080732494,101,22,GB
https://openalex.org/A5047112693,Alison Scott,https://api.openalex.org/works?filter=author.id:A5047112693,93,22,US
https://openalex.org/A5061484477,Shahzeen Z. Attari,https://api.openalex.org/works?filter=author.id:A5061484477,55,18,US
https://openalex.org/A5068654159,Inês M.L. Azevedo,https://api.openalex.org/works?filter=author.id:A5068654159,54,19,US
https://openalex.org/A5070678305,Andrea Tacchella,https://api.openalex.org/works?filter=author.id:A5070678305,45,14,IT
https://openalex.org/A5023826543,James B. Procter,https://api.openalex.org/works?filter=author.id:A5023826543,30,16,GB
https://openalex.org/A5056090615,Jason Napolitano,https://api.openalex.org/works?filter=author.id:A5056090615,30,10,US
https://openalex.org/A5019449272,Thiago Augusto Vieira,https://api.openalex.org/works?filter=author.id:A5019449272,19,1,BR
https://openalex.org/A5023441239,Sai Manoj Prakhya,https://api.openalex.org/works?filter=author.id:A5023441239,17,8,DE
https://openalex.org/A5014700126,Barry Slaff,https://api.openalex.org/works?filter=author.id:A5014700126,15,6,US
https://openalex.org/A5043158526,Bartosz Perz,https://api.openalex.org/works?filter=author.id:A5043158526,11,4,PL
https://openalex.org/A5045887713,Leonie V. Webster,https://api.openalex.org/works?filter=author.id:A5045887713,7,3,GB
https://openalex.org/A5047360747,Andrew W. Mercer,https://api.openalex.org/works?filter=author.id:A5047360747,7,2,US
https://openalex.org/A5088750710,David deGraw,https://api.openalex.org/works?filter=author.id:A5088750710,5,1,
https://openalex.org/A5037541507,Yusong Wu,https://api.openalex.org/works?filter=author.id:A5037541507,3,2,
https://openalex.org/A5003345223,Timo Kunkel,https://api.openalex.org/works?filter=author.id:A5003345223,2,2,DE
https://openalex.org/A5053488778,Yuan Cao Zhang,https://api.openalex.org/works?filter=author.id:A5053488778,1,1,GB
https://openalex.org/A5063647785,James N. Druckman,https://api.openalex.org/works?filter=author.id:A5063647785,416,60,US
https://openalex.org/A5025747847,Todd K. Shackelford,https://api.openalex.org/works?filter=author.id:A5025747847,331,24,US
https://openalex.org/A5041849996,Hanwen Luo,https://api.openalex.org/works?filter=author.id:A5041849996,305,18,CN
https://openalex.org/A5047710456,Bernard J. Jansen,https://api.openalex.org/works?filter=author.id:A5047710456,235,46,QA
https://openalex.org/A5082641407,Aaron C. Kay,https://api.openalex.org/works?filter=author.id:A5082641407,207,48,US
https://openalex.org/A5055491674,Alessandro Rosina,https://api.openalex.org/works?filter=author.id:A5055491674,184,17,IT
https://openalex.org/A5052099873,Wändi Bruine de Bruin,https://api.openalex.org/works?filter=author.id:A5052099873,171,47,US
https://openalex.org/A5087142923,Ling Chu,https://api.openalex.org/works?filter=author.id:A5087142923,168,21,CN
https://openalex.org/A5055363599,Rasmus E. Benestad,https://api.openalex.org/works?filter=author.id:A5055363599,144,36,NO
https://openalex.org/A5075776649,M. Andrea Rodríguez,https://api.openalex.org/works?filter=author.id:A5075776649,132,18,MX
https://openalex.org/A5030882661,Luat T. Vuong,https://api.openalex.org/works?filter=author.id:A5030882661,126,14,US
https://openalex.org/A5024847912,Jennifer Hay,https://api.openalex.org/works?filter=author.id:A5024847912,118,35,NZ
https://openalex.org/A5010904023,Federico Cecconi,https://api.openalex.org/works?filter=author.id:A5010904023,76,13,IT
https://openalex.org/A5003046078,Filippo Simini,https://api.openalex.org/works?filter=author.id:A5003046078,62,15,US
https://openalex.org/A5031253539,Ricardo Biscaia,https://api.openalex.org/works?filter=author.id:A5031253539,46,10,DE
https://openalex.org/A5074024654,Rahat Ibn Rafiq,https://api.openalex.org/works?filter=author.id:A5074024654,20,7,US
https://openalex.org/A5040769818,Quentin Toffolini,https://api.openalex.org/works?filter=author.id:A5040769818,17,6,FR
https://openalex.org/A5025403362,Lee Fiorio,https://api.openalex.org/works?filter=author.id:A5025403362,15,5,US
https://openalex.org/A5053641629,Ankit Sarkar,https://api.openalex.org/works?filter=author.id:A5053641629,14,3,IN
https://openalex.org/A5077564365,Simone Bassanelli,https://api.openalex.org/works?filter=author.id:A5077564365,13,2,IT
https://openalex.org/A5050399467,L. Antolik,https://api.openalex.org/works?filter=author.id:A5050399467,11,5,US
https://openalex.org/A5086956585,Priscila López,https://api.openalex.org/works?filter=author.id:A5086956585,11,3,ES
https://openalex.org/A5078916984,Hillary C. Devlin,https://api.openalex.org/works?filter=author.id:A5078916984,8,4,US
https://openalex.org/A5005702364,Louise Godwin,https://api.openalex.org/works?filter=author.id:A5005702364,2,2,GB
https://openalex.org/A5084750884,Pin Yang,https://api.openalex.org/works?filter=author.id:A5084750884,2,2,CN
https://openalex.org/A5013670125,David Lazer,https://api.openalex.org/works?filter=author.id:A5013670125,404,46,US
https://openalex.org/A5078297482,Victor Chen,https://api.openalex.org/works?filter=author.id:A5078297482,385,44,TW
https://openalex.org/A5049216983,Keith J. Holyoak,https://api.openalex.org/works?filter=author.id:A5049216983,375,78,US
https://openalex.org/A5019047127,Fariborz Jolai,https://api.openalex.org/works?filter=author.id:A5019047127,338,46,IR
https://openalex.org/A5026341152,Gastone Castellani,https://api.openalex.org/works?filter=author.id:A5026341152,330,40,IT
https://openalex.org/A5038812282,Anatoliy Gruzd,https://api.openalex.org/works?filter=author.id:A5038812282,209,25,CA
https://openalex.org/A5044112737,Fahmida Chowdhury,https://api.openalex.org/works?filter=author.id:A5044112737,175,19,BD
https://openalex.org/A5058699536,Sebastian Funk,https://api.openalex.org/works?filter=author.id:A5058699536,167,34,GB
https://openalex.org/A5039136415,Manuel Alfonseca,https://api.openalex.org/works?filter=author.id:A5039136415,165,15,ES
https://openalex.org/A5023213458,Christophe Pallier,https://api.openalex.org/works?filter=author.id:A5023213458,144,43,FR
https://openalex.org/A5069421706,Charalampos E. Tsourakakis,https://api.openalex.org/works?filter=author.id:A5069421706,138,26,US
https://openalex.org/A5037208593,Indrė Žliobaitė,https://api.openalex.org/works?filter=author.id:A5037208593,137,26,FI
https://openalex.org/A5035789881,Giovanny Vinícius Araújo de França,https://api.openalex.org/works?filter=author.id:A5035789881,130,30,BR
https://openalex.org/A5012976652,Péter Pollner,https://api.openalex.org/works?filter=author.id:A5012976652,88,11,HU
https://openalex.org/A5029908055,Maxime Lenormand,https://api.openalex.org/works?filter=author.id:A5029908055,85,18,FR
https://openalex.org/A5004787019,Keith B. Maddox,https://api.openalex.org/works?filter=author.id:A5004787019,59,16,US
https://openalex.org/A5025245458,Jochim Hansen,https://api.openalex.org/works?filter=author.id:A5025245458,57,18,AT
https://openalex.org/A5000005989,Olga Kunina‐Habenicht,https://api.openalex.org/works?filter=author.id:A5000005989,52,16,DE
